data,codice_provincia,denominazione_provincia,sigla_provincia,totale_casi,casi_giornalieri,nuovi_positivi_media_mobile
2021-01-19,30,Udine,UD,26945,186,261
2021-01-19,31,Gorizia,GO,7506,28,51
2021-01-19,32,Trieste,TS,12562,72,90
2021-01-19,93,Pordenone,PN,13589,162,182
2021-01-19,885,Fuori Regione / Provincia Autonoma,,771,6,7
