data,codice_provincia,denominazione_provincia,sigla_provincia,totale_casi,casi_giornalieri,nuovi_positivi_media_mobile
2021-06-25,30,Udine,UD,50324,2,-57
2021-06-25,31,Gorizia,GO,13041,2,-8
2021-06-25,32,Trieste,TS,21096,13,-42
2021-06-25,93,Pordenone,PN,21042,2,0
2021-06-25,885,Fuori Regione / Provincia Autonoma,,1383,0,25
